reserved;object;attribute;briefDescription;displayFormat;definition
;refTemperatureObj;value_16;;;
;refTemperatureObj;value_17;;;
;refTemperatureObj;value_18;;;
;refTemperatureObj;value_19;;;
;refTemperatureObj;value_20;;;
;QvPartialSimObj;unit;;;
;QvPartialSimObj;type;;;
;QvPartialSimObj;value_0;;NUMERIC;
;QvPartialSimObj;value_1;;;
;QvPartialSimObj;value_2;;;
;QvPartialSimObj;value_3;;;
;QvPartialSimObj;value_4;;;
;QvPartialSimObj;value_5;;;
;QvPartialSimObj;value_6;;;
;QvPartialSimObj;value_7;;;
;QvPartialSimObj;value_8;;;
;QvPartialSimObj;value_9;;;
;QvPartialSimObj;value_10;;;
;QvPartialSimObj;value_11;;;
;QvPartialSimObj;value_12;;;
;QvPartialSimObj;value_13;;;
;QvPartialSimObj;value_14;;;
;QvPartialSimObj;value_15;;;
;QvPartialSimObj;value_16;;;
;QvPartialSimObj;value_17;;;
;QvPartialSimObj;value_18;;;
;QvPartialSimObj;value_19;;;
;QvPartialSimObj;value_20;;;
;QnMaxDNObj;unit;;;
;QnMaxDNObj;type;;;
;QnMaxDNObj;value_0;;NUMERIC;
;QnMaxDNObj;value_1;;;
;QnMaxDNObj;value_2;;;
;QnMaxDNObj;value_3;;;
;QnMaxDNObj;value_4;;;
;QnMaxDNObj;value_5;;;
;QnMaxDNObj;value_6;;;
;QnMaxDNObj;value_7;;;
;QnMaxDNObj;value_8;;;
;QnMaxDNObj;value_9;;;
;QnMaxDNObj;value_10;;;
;QnMaxDNObj;value_11;;;
;QnMaxDNObj;value_12;;;
;QnMaxDNObj;value_13;;;
;QnMaxDNObj;value_14;;;
;QnMaxDNObj;value_15;;;
;QnMaxDNObj;value_16;;;
;QnMaxDNObj;value_17;;;
;QnMaxDNObj;value_18;;;
;QnMaxDNObj;value_19;;;
;QnMaxDNObj;value_20;;;
;QmMaxDNObj;unit;;;
;QmMaxDNObj;type;;;
;QmMaxDNObj;value_0;;NUMERIC;
;QmMaxDNObj;value_1;;;
;QmMaxDNObj;value_2;;;
;QmMaxDNObj;value_3;;;
;QmMaxDNObj;value_4;;;
;QmMaxDNObj;value_5;;;
;QmMaxDNObj;value_6;;;
;QmMaxDNObj;value_7;;;
;QmMaxDNObj;value_8;;;
;QmMaxDNObj;value_9;;;
;QmMaxDNObj;value_10;;;
;QmMaxDNObj;value_11;;;
;QmMaxDNObj;value_12;;;
;QmMaxDNObj;value_13;;;
;QmMaxDNObj;value_14;;;
;QmMaxDNObj;value_15;;;
;QmMaxDNObj;value_16;;;
;QmMaxDNObj;value_17;;;
;QmMaxDNObj;value_18;;;
;QmMaxDNObj;value_19;;;
;QmMaxDNObj;value_20;;;
;QpMaxDNObj;unit;;;
;QpMaxDNObj;type;;;
;QpMaxDNObj;value_0;;NUMERIC;
;QpMaxDNObj;value_1;;;
;QpMaxDNObj;value_2;;;
;QpMaxDNObj;value_3;;;
;QpMaxDNObj;value_4;;;
;QpMaxDNObj;value_5;;;
;QpMaxDNObj;value_6;;;
;QpMaxDNObj;value_7;;;
;QpMaxDNObj;value_8;;;
;QpMaxDNObj;value_9;;;
;QpMaxDNObj;value_10;;;
;QpMaxDNObj;value_11;;;
;QpMaxDNObj;value_12;;;
;QpMaxDNObj;value_13;;;
;QpMaxDNObj;value_14;;;
;QpMaxDNObj;value_15;;;
;QpMaxDNObj;value_16;;;
;QpMaxDNObj;value_17;;;
;QpMaxDNObj;value_18;;;
;QpMaxDNObj;value_19;;;
;QpMaxDNObj;value_20;;;
;QnPartialMaxDNObj;unit;;;
;QnPartialMaxDNObj;type;;;
;QnPartialMaxDNObj;value_0;;NUMERIC;
;QnPartialMaxDNObj;value_1;;;
;QnPartialMaxDNObj;value_2;;;
;QnPartialMaxDNObj;value_3;;;
;QnPartialMaxDNObj;value_4;;;
;QnPartialMaxDNObj;value_5;;;
;QnPartialMaxDNObj;value_6;;;
;QnPartialMaxDNObj;value_7;;;
;QnPartialMaxDNObj;value_8;;;
;QnPartialMaxDNObj;value_9;;;
;QnPartialMaxDNObj;value_10;;;
;QnPartialMaxDNObj;value_11;;;
;QnPartialMaxDNObj;value_12;;;
;QnPartialMaxDNObj;value_13;;;
;QnPartialMaxDNObj;value_14;;;
;QnPartialMaxDNObj;value_15;;;
;QnPartialMaxDNObj;value_16;;;
;QnPartialMaxDNObj;value_17;;;
;QnPartialMaxDNObj;value_18;;;
;QnPartialMaxDNObj;value_19;;;
;QnPartialMaxDNObj;value_20;;;
;QvPartialMaxDNObj;unit;;;
;QvPartialMaxDNObj;type;;;
;QvPartialMaxDNObj;value_0;;NUMERIC;
;QvPartialMaxDNObj;value_1;;;
;QvPartialMaxDNObj;value_2;;;
;QvPartialMaxDNObj;value_3;;;
;QvPartialMaxDNObj;value_4;;;
;QvPartialMaxDNObj;value_5;;;
;QvPartialMaxDNObj;value_6;;;
;QvPartialMaxDNObj;value_7;;;
;QvPartialMaxDNObj;value_8;;;
;QvPartialMaxDNObj;value_9;;;
;QvPartialMaxDNObj;value_10;;;
;QvPartialMaxDNObj;value_11;;;
;QvPartialMaxDNObj;value_12;;;
;QvPartialMaxDNObj;value_13;;;
;QvPartialMaxDNObj;value_14;;;
;QvPartialMaxDNObj;value_15;;;
;QvPartialMaxDNObj;value_16;;;
;QvPartialMaxDNObj;value_17;;;
;QvPartialMaxDNObj;value_18;;;
;QvPartialMaxDNObj;value_19;;;
;QvPartialMaxDNObj;value_20;;;
;QnDampingTime;;;NUMERIC;
;QpDampingTime;;;NUMERIC;
;QnPartialDampingTime;;;NUMERIC;
;QvPartialDampingTime;;;NUMERIC;
;compressFactorS;;;NUMERIC;
;compressFactorR;;;NUMERIC;
;steamPwrrFR;;Steam Power calucaltion Forward and Reverse Switch;ENUMERATION;_PWR_FWD_REV_SW
