reserved;definition;name;value;briefDescription
##Module SubGen;;;;
##ModuleRevision 0x020101;;;;
##FileRevision 24;;;;
Copyright ABB 2011.;;;;
All rights reserved. Reproduction modification;;;;
use or disclosure to third parties without express;;;;
authority is forbidden.;;;;
!;;;;
!;;;;
";;;;
";;;;
;T_HART_UNITS;UM_CUBIC_MILLIMETER_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MILLIMETER_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_CENTIMETER_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_CENTIMETER_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_CENTIMETER_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_CENTIMETER_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_KILOMETER_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_KILOMETER_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_KILOMETER_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_KILOMETER_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MEGAMETER_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MEGAMETER_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MEGAMETER_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MEGAMETER_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MILLIFEET_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MILLIFEET_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MILLIFEET_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MILLIFEET_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_KILOFEET_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_KILOFEET_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_KILOFEET_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_KILOFEET_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_CUBIC_MEGAFEET_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_ACRE_INCH_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_ACRE_INCH_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_ACRE_INCH_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_ACRE_INCH_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_ACRE_FEET_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_ACRE_FEET_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_ACRE_FEET_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_ACRE_FEET_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_LITER_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_KILOLITER_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_MEGALITER_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_MEGALITER_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_HECTOLITER_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_HECTOLITER_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_HECTOLITER_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_KILOLITER_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_KILOLITER_PER_HOUR;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_KILOLITER_PER_DAY;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_MICRO_US_GALLON_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_MILLI_US_GALLON_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_KILO_US_GALLON_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_MEGA_US_GALLON_PER_SECOND;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_MICRO_US_GALLON_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_MILLI_US_GALLON_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_KILO_US_GALLON_PER_MINUTE;NOT_SUPPORTED;Volume Flow
;T_HART_UNITS;UM_MEGA_US_GALLON_PER_MINUTE;NOT_SUPPORTED;Volume Flow
