reserved;Target Subsystem Name;Target Object Name;Target Attribute Index;Bas;Std;Adv;Svc
##Module arm;;;;;;;
##ModuleRevision 01;;;;;;;
##FileRevision 122;;;;;;;
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensorLocationTag;WHOLE_OBJECT;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_sensoTag;WHOLE_OBJECT;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_converterType;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_vortexmeterSize;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_swirlmeterSize;0;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_bootloaderRevision;0;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_bootloaderRevision;1;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_bootloaderRevision;2;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_bootloaderRevision;3;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_bootloaderRevision;4;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_bootloaderRevision;5;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_bootloaderRevision;6;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_bootloaderRevision;7;RO;RW;RW;RW
;ARM_IDX;ARM_IDX_readOnlySwitchStatus;0;RO;RW;RW;RW
;ELETTRONICSERVICES_IDX;ELETTRONICSERVICES_IDX_autozeroStatus;0;RO;RW;RW;RW
;DIGITALOUTPUT_IDX;DIGITALOUTPUT_IDX_logicValue;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_calibrationStatus;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KLinearisation;0;RO;RW;RW;RW
;SVM_IDX;SVM_IDX_KSET;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_vbrFilNumCoef;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_lockMinIntPeriod;0;RO;RW;RW;RW
;CDT_IDX;CDT_IDX_lockMaxIntPeriod;0;RO;RW;RW;RW
